#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 49108405  50  11   u    0       0          0              0      HF   -33     5      1
 49408405  50  11   u    0       0          0              1      HF   -33     5      4
 49107C05  50  11   u    0       0          0              2      HF   -31     5      1
 49407C05  50  11   u    0       0          0              3      HF   -31     5      4
 49107405  50  11   u    0       0          1              0      HF   -29     5      1
 49407405  50  11   u    0       0          1              1      HF   -29     5      4
 49108805  50  11   u    0       0          1              2      HF   -34     5      1
 49408805  50  11   u    0       0          1              3      HF   -34     5      4
 49108005  50  11   u    0       0          2              0      HF   -32     5      1
 49408005  50  11   u    0       0          2              1      HF   -32     5      4
 49107805  50  11   u    0       0          2              2      HF   -30     5      1
 49407805  50  11   u    0       0          2              3      HF   -30     5      4
 49208405  50  11   u    0       0          3              0      HF   -33     5      2
 49308405  50  11   u    0       0          3              1      HF   -33     5      3
 49207C05  50  11   u    0       0          3              2      HF   -31     5      2
 49307C05  50  11   u    0       0          3              3      HF   -31     5      3
 49207405  50  11   u    0       0          4              0      HF   -29     5      2
 49307405  50  11   u    0       0          4              1      HF   -29     5      3
 49208805  50  11   u    0       0          4              2      HF   -34     5      2
 49308805  50  11   u    0       0          4              3      HF   -34     5      3
 49208005  50  11   u    0       0          5              0      HF   -32     5      2
 49308005  50  11   u    0       0          5              1      HF   -32     5      3
 49207805  50  11   u    0       0          5              2      HF   -30     5      2
 49307805  50  11   u    0       0          5              3      HF   -30     5      3
 4910A403  50  11   u    0       0          6              0      HF   -41     3      1
 4940A403  50  11   u    0       0          6              1      HF   -41     3      4
 49109405  50  11   u    0       0          6              2      HF   -37     5      1
 49409405  50  11   u    0       0          6              3      HF   -37     5      4
 49108C05  50  11   u    0       0          7              0      HF   -35     5      1
 49408C05  50  11   u    0       0          7              1      HF   -35     5      4
 49109C05  50  11   u    0       0          7              2      HF   -39     5      1
 49409C05  50  11   u    0       0          7              3      HF   -39     5      4
 49109805  50  11   u    0       0          8              0      HF   -38     5      1
 49409805  50  11   u    0       0          8              1      HF   -38     5      4
 49109005  50  11   u    0       0          8              2      HF   -36     5      1
 49409005  50  11   u    0       0          8              3      HF   -36     5      4
 4920A403  50  11   u    0       0          9              0      HF   -41     3      2
 4930A403  50  11   u    0       0          9              1      HF   -41     3      3
 49209405  50  11   u    0       0          9              2      HF   -37     5      2
 49309405  50  11   u    0       0          9              3      HF   -37     5      3
 49208C05  50  11   u    0       0         10              0      HF   -35     5      2
 49308C05  50  11   u    0       0         10              1      HF   -35     5      3
 49209C05  50  11   u    0       0         10              2      HF   -39     5      2
 49309C05  50  11   u    0       0         10              3      HF   -39     5      3
 49209805  50  11   u    0       0         11              0      HF   -38     5      2
 49309805  50  11   u    0       0         11              1      HF   -38     5      3
 49209005  50  11   u    0       0         11              2      HF   -36     5      2
 49309005  50  11   u    0       0         11              3      HF   -36     5      3
 49208803  50  11   u    0       0         12              0      HF   -34     3      2
 49308803  50  11   u    0       0         12              1      HF   -34     3      3
 49208003  50  11   u    0       0         12              2      HF   -32     3      2
 49308003  50  11   u    0       0         12              3      HF   -32     3      3
 49207803  50  11   u    0       0         13              0      HF   -30     3      2
 49307803  50  11   u    0       0         13              1      HF   -30     3      3
 49208403  50  11   u    0       0         13              2      HF   -33     3      2
 49308403  50  11   u    0       0         13              3      HF   -33     3      3
 49207C03  50  11   u    0       0         14              0      HF   -31     3      2
 49307C03  50  11   u    0       0         14              1      HF   -31     3      3
 49207403  50  11   u    0       0         14              2      HF   -29     3      2
 49307403  50  11   u    0       0         14              3      HF   -29     3      3
 49108803  50  11   u    0       0         15              0      HF   -34     3      1
 49408803  50  11   u    0       0         15              1      HF   -34     3      4
 49108003  50  11   u    0       0         15              2      HF   -32     3      1
 49408003  50  11   u    0       0         15              3      HF   -32     3      4
 49107803  50  11   u    0       0         16              0      HF   -30     3      1
 49407803  50  11   u    0       0         16              1      HF   -30     3      4
 49108403  50  11   u    0       0         16              2      HF   -33     3      1
 49408403  50  11   u    0       0         16              3      HF   -33     3      4
 49107C03  50  11   u    0       0         17              0      HF   -31     3      1
 49407C03  50  11   u    0       0         17              1      HF   -31     3      4
 49107403  50  11   u    0       0         17              2      HF   -29     3      1
 49407403  50  11   u    0       0         17              3      HF   -29     3      4
 4920A003  50  11   u    0       0         18              0      HF   -40     3      2
 4930A003  50  11   u    0       0         18              1      HF   -40     3      3
 49209803  50  11   u    0       0         18              2      HF   -38     3      2
 49309803  50  11   u    0       0         18              3      HF   -38     3      3
 49209003  50  11   u    0       0         19              0      HF   -36     3      2
 49309003  50  11   u    0       0         19              1      HF   -36     3      3
 49209C03  50  11   u    0       0         19              2      HF   -39     3      2
 49309C03  50  11   u    0       0         19              3      HF   -39     3      3
 49209403  50  11   u    0       0         20              0      HF   -37     3      2
 49309403  50  11   u    0       0         20              1      HF   -37     3      3
 49208C03  50  11   u    0       0         20              2      HF   -35     3      2
 49308C03  50  11   u    0       0         20              3      HF   -35     3      3
 4910A003  50  11   u    0       0         21              0      HF   -40     3      1
 4940A003  50  11   u    0       0         21              1      HF   -40     3      4
 49109803  50  11   u    0       0         21              2      HF   -38     3      1
 49409803  50  11   u    0       0         21              3      HF   -38     3      4
 49109003  50  11   u    0       0         22              0      HF   -36     3      1
 49409003  50  11   u    0       0         22              1      HF   -36     3      4
 49109C03  50  11   u    0       0         22              2      HF   -39     3      1
 49409C03  50  11   u    0       0         22              3      HF   -39     3      4
 49109403  50  11   u    0       0         23              0      HF   -37     3      1
 49409403  50  11   u    0       0         23              1      HF   -37     3      4
 49108C03  50  11   u    0       0         23              2      HF   -35     3      1
 49408C03  50  11   u    0       0         23              3      HF   -35     3      4
 49108409  50  12   u    0       0          0              0      HF   -33     9      1
 49408409  50  12   u    0       0          0              1      HF   -33     9      4
 49107C09  50  12   u    0       0          0              2      HF   -31     9      1
 49407C09  50  12   u    0       0          0              3      HF   -31     9      4
 49107409  50  12   u    0       0          1              0      HF   -29     9      1
 49407409  50  12   u    0       0          1              1      HF   -29     9      4
 49108809  50  12   u    0       0          1              2      HF   -34     9      1
 49408809  50  12   u    0       0          1              3      HF   -34     9      4
 49108009  50  12   u    0       0          2              0      HF   -32     9      1
 49408009  50  12   u    0       0          2              1      HF   -32     9      4
 49107809  50  12   u    0       0          2              2      HF   -30     9      1
 49407809  50  12   u    0       0          2              3      HF   -30     9      4
 49208409  50  12   u    0       0          3              0      HF   -33     9      2
 49308409  50  12   u    0       0          3              1      HF   -33     9      3
 49207C09  50  12   u    0       0          3              2      HF   -31     9      2
 49307C09  50  12   u    0       0          3              3      HF   -31     9      3
 49207409  50  12   u    0       0          4              0      HF   -29     9      2
 49307409  50  12   u    0       0          4              1      HF   -29     9      3
 49208809  50  12   u    0       0          4              2      HF   -34     9      2
 49308809  50  12   u    0       0          4              3      HF   -34     9      3
 49208009  50  12   u    0       0          5              0      HF   -32     9      2
 49308009  50  12   u    0       0          5              1      HF   -32     9      3
 49207809  50  12   u    0       0          5              2      HF   -30     9      2
 49307809  50  12   u    0       0          5              3      HF   -30     9      3
 4910A407  50  12   u    0       0          6              0      HF   -41     7      1
 4940A407  50  12   u    0       0          6              1      HF   -41     7      4
 49109409  50  12   u    0       0          6              2      HF   -37     9      1
 49409409  50  12   u    0       0          6              3      HF   -37     9      4
 49108C09  50  12   u    0       0          7              0      HF   -35     9      1
 49408C09  50  12   u    0       0          7              1      HF   -35     9      4
 49109C09  50  12   u    0       0          7              2      HF   -39     9      1
 49409C09  50  12   u    0       0          7              3      HF   -39     9      4
 49109809  50  12   u    0       0          8              0      HF   -38     9      1
 49409809  50  12   u    0       0          8              1      HF   -38     9      4
 49109009  50  12   u    0       0          8              2      HF   -36     9      1
 49409009  50  12   u    0       0          8              3      HF   -36     9      4
 4920A407  50  12   u    0       0          9              0      HF   -41     7      2
 4930A407  50  12   u    0       0          9              1      HF   -41     7      3
 49209409  50  12   u    0       0          9              2      HF   -37     9      2
 49309409  50  12   u    0       0          9              3      HF   -37     9      3
 49208C09  50  12   u    0       0         10              0      HF   -35     9      2
 49308C09  50  12   u    0       0         10              1      HF   -35     9      3
 49209C09  50  12   u    0       0         10              2      HF   -39     9      2
 49309C09  50  12   u    0       0         10              3      HF   -39     9      3
 49209809  50  12   u    0       0         11              0      HF   -38     9      2
 49309809  50  12   u    0       0         11              1      HF   -38     9      3
 49209009  50  12   u    0       0         11              2      HF   -36     9      2
 49309009  50  12   u    0       0         11              3      HF   -36     9      3
