#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 47483C03   3   2   t   24       0          1              0      HO    15     3      4
 47483C02   3   2   t   24       0          1              1      HO    15     2      4
 47483C04   3   2   t   24       0          1              2      HO    15     4      4
 47483804   3   2   t   24       0          2              0      HO    14     4      4
 47483803   3   2   t   24       0          2              1      HO    14     3      4
 47483802   3   2   t   24       0          2              2      HO    14     2      4
 47483403   3   2   t   24       0          3              0      HO    13     3      4
 47483402   3   2   t   24       0          3              1      HO    13     2      4
 47483404   3   2   t   24       0          3              2      HO    13     4      4
 47483004   3   2   t   24       0          4              0      HO    12     4      4
 47483003   3   2   t   24       0          4              1      HO    12     3      4
 47483002   3   2   t   24       0          4              2      HO    12     2      4
 47482C03   3   2   t   24       0          5              0      HO    11     3      4
 47482C02   3   2   t   24       0          5              1      HO    11     2      4
 47482C04   3   2   t   24       0          5              2      HO    11     4      4
 47482804   3   2   t   24       0          6              0      HO    10     4      4
 47482803   3   2   t   24       0          6              1      HO    10     3      4
 47482802   3   2   t   24       0          6              2      HO    10     2      4
 47482403   3   2   t   24       0          7              0      HO     9     3      4
 47482402   3   2   t   24       0          7              1      HO     9     2      4
 47482404   3   2   t   24       0          7              2      HO     9     4      4
 47482004   3   2   t   24       0          8              0      HO     8     4      4
 47482003   3   2   t   24       0          8              1      HO     8     3      4
 47482002   3   2   t   24       0          8              2      HO     8     2      4
 47483C48   3   2   b   24       1          1              0      HO    15    72      4
 47483C47   3   2   b   24       1          1              1      HO    15    71      4
 47483C01   3   2   b   24       1          1              2      HO    15     1      4
 47483801   3   2   b   24       1          2              0      HO    14     1      4
 47483848   3   2   b   24       1          2              1      HO    14    72      4
 47483847   3   2   b   24       1          2              2      HO    14    71      4
 47483448   3   2   b   24       1          3              0      HO    13    72      4
 47483447   3   2   b   24       1          3              1      HO    13    71      4
 47483401   3   2   b   24       1          3              2      HO    13     1      4
 47483001   3   2   b   24       1          4              0      HO    12     1      4
 47483048   3   2   b   24       1          4              1      HO    12    72      4
 47483047   3   2   b   24       1          4              2      HO    12    71      4
 47482C48   3   2   b   24       1          5              0      HO    11    72      4
 47482C47   3   2   b   24       1          5              1      HO    11    71      4
 47482C01   3   2   b   24       1          5              2      HO    11     1      4
 47482801   3   2   b   24       1          6              0      HO    10     1      4
 47482848   3   2   b   24       1          6              1      HO    10    72      4
 47482847   3   2   b   24       1          6              2      HO    10    71      4
 47482448   3   2   b   24       1          7              0      HO     9    72      4
 47482447   3   2   b   24       1          7              1      HO     9    71      4
 47482401   3   2   b   24       1          7              2      HO     9     1      4
 47482001   3   2   b   24       1          8              0      HO     8     1      4
 47482048   3   2   b   24       1          8              1      HO     8    72      4
 47482047   3   2   b   24       1          8              2      HO     8    71      4
 47481C03   3   3   t   24       2          1              0      HO     7     3      4
 47481C02   3   3   t   24       2          1              1      HO     7     2      4
 47481C04   3   3   t   24       2          1              2      HO     7     4      4
 47481804   3   3   t   24       2          2              0      HO     6     4      4
 47481803   3   3   t   24       2          2              1      HO     6     3      4
 47481802   3   3   t   24       2          2              2      HO     6     2      4
 47481403   3   3   t   24       2          3              0      HO     5     3      4
 47481402   3   3   t   24       2          3              1      HO     5     2      4
 47481404   3   3   t   24       2          3              2      HO     5     4      4
 47400C04   3   3   t   24       2          4              0      HO    -3     4      4
 47400C03   3   3   t   24       2          4              1      HO    -3     3      4
 47400804   3   3   t   24       2          4              2      HO    -2     4      4
 47400404   3   3   t   24       2          5              0      HO    -1     4      4
 47480804   3   3   t   24       2          5              1      HO     2     4      4
 4E240A03   3   3   t   24       2          5              2     HOX     4     3   -999
 47400403   3   3   t   24       2          6              0      HO    -1     3      4
 47400803   3   3   t   24       2          6              1      HO    -2     3      4
 47480803   3   3   t   24       2          6              2      HO     2     3      4
 47400C02   3   3   t   24       2          7              0      HO    -3     2      4
 47400C01   3   3   t   24       2          7              1      HO    -3     1      4
 47400802   3   3   t   24       2          7              2      HO    -2     2      4
 47400402   3   3   t   24       2          8              0      HO    -1     2      4
 47480802   3   3   t   24       2          8              1      HO     2     2      4
 4E240A01   3   3   t   24       2          8              2     HOX     4     1   -999
 47481C48   3   3   b   24       3          1              0      HO     7    72      4
 47481C47   3   3   b   24       3          1              1      HO     7    71      4
 47481C01   3   3   b   24       3          1              2      HO     7     1      4
 47481801   3   3   b   24       3          2              0      HO     6     1      4
 47481848   3   3   b   24       3          2              1      HO     6    72      4
 47481847   3   3   b   24       3          2              2      HO     6    71      4
 47481448   3   3   b   24       3          3              0      HO     5    72      4
 47481447   3   3   b   24       3          3              1      HO     5    71      4
 47481401   3   3   b   24       3          3              2      HO     5     1      4
 47400401   3   3   b   24       3          4              0      HO    -1     1      4
 47400801   3   3   b   24       3          4              1      HO    -2     1      4
 47480801   3   3   b   24       3          4              2      HO     2     1      4
 47400C48   3   3   b   24       3          5              0      HO    -3    72      4
 47400C47   3   3   b   24       3          5              1      HO    -3    71      4
 47400848   3   3   b   24       3          5              2      HO    -2    72      4
 47400448   3   3   b   24       3          6              0      HO    -1    72      4
 47480848   3   3   b   24       3          6              1      HO     2    72      4
 4E240A47   3   3   b   24       3          6              2     HOX     4    71   -999
 47400447   3   3   b   24       3          7              0      HO    -1    71      4
 47400847   3   3   b   24       3          7              1      HO    -2    71      4
 47480847   3   3   b   24       3          7              2      HO     2    71      4
 4E240784   3   3   b   24       3          8              0     HOX   -15     4   -999
 4E240783   3   3   b   24       3          8              1     HOX   -15     3   -999
 4E240782   3   3   b   24       3          8              2     HOX   -15     2   -999
 47401C03   3   4   t   24       4          1              0      HO    -7     3      4
 47401C02   3   4   t   24       4          1              1      HO    -7     2      4
 47401C04   3   4   t   24       4          1              2      HO    -7     4      4
 47401804   3   4   t   24       4          2              0      HO    -6     4      4
 47401803   3   4   t   24       4          2              1      HO    -6     3      4
 47401802   3   4   t   24       4          2              2      HO    -6     2      4
 47401403   3   4   t   24       4          3              0      HO    -5     3      4
 47401402   3   4   t   24       4          3              1      HO    -5     2      4
 47401404   3   4   t   24       4          3              2      HO    -5     4      4
 47401004   3   4   t   24       4          4              0      HO    -4     4      4
 4E240203   3   4   t   24       4          4              1     HOX    -4     3   -999
 47401003   3   4   t   24       4          4              2      HO    -4     3      4
 47401002   3   4   t   24       4          5              0      HO    -4     2      4
 4E240201   3   4   t   24       4          5              1     HOX    -4     1   -999
 47401001   3   4   t   24       4          5              2      HO    -4     1      4
 47401048   3   4   t   24       4          6              0      HO    -4    72      4
 4E240247   3   4   t   24       4          6              1     HOX    -4    71   -999
 47401047   3   4   t   24       4          6              2      HO    -4    71      4
 47480404   3   4   t   24       4          7              0      HO     1     4      4
 47480C04   3   4   t   24       4          7              1      HO     3     4      4
 47481004   3   4   t   24       4          7              2      HO     4     4      4
 47480C03   3   4   t   24       4          8              0      HO     3     3      4
 47480403   3   4   t   24       4          8              1      HO     1     3      4
 47481003   3   4   t   24       4          8              2      HO     4     3      4
 47401C48   3   4   b   24       5          1              0      HO    -7    72      4
 47401C47   3   4   b   24       5          1              1      HO    -7    71      4
 47401C01   3   4   b   24       5          1              2      HO    -7     1      4
 47401801   3   4   b   24       5          2              0      HO    -6     1      4
 47401848   3   4   b   24       5          2              1      HO    -6    72      4
 47401847   3   4   b   24       5          2              2      HO    -6    71      4
 47401448   3   4   b   24       5          3              0      HO    -5    72      4
 47401447   3   4   b   24       5          3              1      HO    -5    71      4
 47401401   3   4   b   24       5          3              2      HO    -5     1      4
 47480402   3   4   b   24       5          4              0      HO     1     2      4
