#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet     ieta  iphi  depth
 49108405  22   1   u    0       0          0              0     ZDC_RPD   -4    1    -99
 49408405  22   1   u    0       0          0              1     ZDC_RPD   -4    2    -99
 49107C05  22   1   u    0       0          0              2     ZDC_RPD   -4    3    -99
 49407C05  22   1   u    0       0          0              3     ZDC_RPD   -4    4    -99
 49107405  22   1   u    0       0          1              0     ZDC_RPD   -3    5    -99
 49407405  22   1   u    0       0          1              1     ZDC_RPD   -3    6    -99
 49108805  22   1   u    0       0          1              2     ZDC_RPD   -3    7    -99
 49408805  22   1   u    0       0          1              3     ZDC_RPD   -3    8    -99
 49108005  22   1   u    0       0          2              0     ZDC_RPD   -2    9    -99
 49408005  22   1   u    0       0          2              1     ZDC_RPD   -2    10   -99
 49107805  22   1   u    0       0          2              2     ZDC_RPD   -2    11   -99
 49407805  22   1   u    0       0          2              3     ZDC_RPD   -2    12   -99
 49208405  22   1   u    0       0          3              0     ZDC_RPD   -1    13   -99
 49308405  22   1   u    0       0          3              1     ZDC_RPD   -1    14   -99
 49207C05  22   1   u    0       0          3              2     ZDC_RPD   -1    15   -99
 49307C05  22   1   u    0       0          3              3     ZDC_RPD   -1    16   -99
 49207405  22   1   u    0       0          4              0     ZDC_RPD    4    1    -99
 49307405  22   1   u    0       0          4              1     ZDC_RPD    4    2    -99
 49208805  22   1   u    0       0          4              2     ZDC_RPD    4    3    -99
 49308805  22   1   u    0       0          4              3     ZDC_RPD    4    4    -99
 49208005  22   1   u    0       0          5              0     ZDC_RPD    3    5    -99
 49308005  22   1   u    0       0          5              1     ZDC_RPD    3    6    -99
 49207805  22   1   u    0       0          5              2     ZDC_RPD    3    7    -99
 49307805  22   1   u    0       0          5              3     ZDC_RPD    3    8    -99
 4910A403  22   1   u    0       0          6              0     ZDC_RPD    2    9    -99
 4940A403  22   1   u    0       0          6              1     ZDC_RPD    2    10   -99
 49109405  22   1   u    0       0          6              2     ZDC_RPD    2    11   -99
 49409405  22   1   u    0       0          6              3     ZDC_RPD    2    12   -99
 49108C05  22   1   u    0       0          7              0     ZDC_RPD    1    13   -99
 49408C05  22   1   u    0       0          7              1     ZDC_RPD    1    14   -99
 49109C05  22   1   u    0       0          7              2     ZDC_RPD    1    15   -99
 49409C05  22   1   u    0       0          7              3     ZDC_RPD    1    16   -99
 49109805  22   1   u    0       0          8              0      ZDC_EM   -1    0    -99
 49409805  22   1   u    0       0          8              1      ZDC_EM   -1    1    -99
 49109005  22   1   u    0       0          8              2      ZDC_EM   -1    2    -99
 49409005  22   1   u    0       0          8              3      ZDC_EM   -1    3    -99
 4920A403  22   1   u    0       0          9              0      ZDC_EM   -1    4    -99
 4930A403  22   1   u    0       0          9              1      ZDC_EM   -1    5    -99
 49209405  22   1   u    0       0          9              2      ZDC_EM   -1    6    -99
 49309405  22   1   u    0       0          9              3      ZDC_EM   -1    7    -99
 49208C05  22   1   u    0       0         10              0      ZDC_EM   -1    8    -99
 49308C05  22   1   u    0       0         10              1      ZDC_EM   -1    9    -99
 49209C05  22   1   u    0       0         10              2      ZDC_EM   -1   10    -99
 49309C05  22   1   u    0       0         10              3      ZDC_EM   -1   11    -99
 49209805  22   1   u    0       0         11              0      ZDC_EM   -1   12    -99
 49309805  22   1   u    0       0         11              1      ZDC_EM   -1   13    -99
 49209005  22   1   u    0       0         11              2      ZDC_EM   -1   14    -99
 49309005  22   1   u    0       0         11              3      ZDC_EM   -1   15    -99
 49208803  22   1   u    0       0         12              0      ZDC_EM    1    0    -99
 49308803  22   1   u    0       0         12              1      ZDC_EM    1    1    -99
 49208003  22   1   u    0       0         12              2      ZDC_EM    1    2    -99
 49308003  22   1   u    0       0         12              3      ZDC_EM    1    3    -99
 49207803  22   1   u    0       0         13              0      ZDC_EM    1    4    -99
 49307803  22   1   u    0       0         13              1      ZDC_EM    1    5    -99
 49208403  22   1   u    0       0         13              2      ZDC_EM    1    6    -99
 49308403  22   1   u    0       0         13              3      ZDC_EM    1    7    -99
 49207C03  22   1   u    0       0         14              0      ZDC_EM    1    8    -99
 49307C03  22   1   u    0       0         14              1      ZDC_EM    1    9    -99
 49207403  22   1   u    0       0         14              2      ZDC_EM    1   10    -99
 49307403  22   1   u    0       0         14              3      ZDC_EM    1   11    -99
 49108803  22   1   u    0       0         15              0      ZDC_EM    1   12    -99
 49408803  22   1   u    0       0         15              1      ZDC_EM    1   13    -99
 49108003  22   1   u    0       0         15              2      ZDC_EM    1   14    -99
 49408003  22   1   u    0       0         15              3      ZDC_EM    1   15    -99
 49107803  22   1   u    0       0         16              0     ZDC_HAD   -1    0    -99
 49407803  22   1   u    0       0         16              1     ZDC_HAD   -1    1    -99
 49108403  22   1   u    0       0         16              2     ZDC_HAD   -1    2    -99
 49408403  22   1   u    0       0         16              3     ZDC_HAD   -1    3    -99
 49107C03  22   1   u    0       0         17              0     ZDC_HAD   -1    4    -99
 49407C03  22   1   u    0       0         17              1     ZDC_HAD   -1    5    -99
 49107403  22   1   u    0       0         17              2     ZDC_HAD   -1    6    -99
 49407403  22   1   u    0       0         17              3     ZDC_HAD   -1    7    -99
 4920A003  22   1   u    0       0         18              0     ZDC_HAD   -1    8    -99
 4930A003  22   1   u    0       0         18              1     ZDC_HAD   -1    9    -99
 49209803  22   1   u    0       0         18              2     ZDC_HAD   -1   10    -99
 49309803  22   1   u    0       0         18              3     ZDC_HAD   -1   11    -99
 49209003  22   1   u    0       0         19              0     ZDC_HAD   -1   12    -99
 49309003  22   1   u    0       0         19              1     ZDC_HAD   -1   13    -99
 49209C03  22   1   u    0       0         19              2     ZDC_HAD   -1   14    -99
 49309C03  22   1   u    0       0         19              3     ZDC_HAD   -1   15    -99
 49209403  22   1   u    0       0         20              0     ZDC_HAD    1    0    -99
 49309403  22   1   u    0       0         20              1     ZDC_HAD    1    1    -99
 49208C03  22   1   u    0       0         20              2     ZDC_HAD    1    2    -99
 49308C03  22   1   u    0       0         20              3     ZDC_HAD    1    3    -99
 4910A003  22   1   u    0       0         21              0     ZDC_HAD    1    4    -99
 4940A003  22   1   u    0       0         21              1     ZDC_HAD    1    5    -99
 49109803  22   1   u    0       0         21              2     ZDC_HAD    1    6    -99
 49409803  22   1   u    0       0         21              3     ZDC_HAD    1    7    -99
 49109003  22   1   u    0       0         22              0     ZDC_HAD    1    8    -99
 49409003  22   1   u    0       0         22              1     ZDC_HAD    1    9    -99
 49109C03  22   1   u    0       0         22              2     ZDC_HAD    1   10    -99
 49409C03  22   1   u    0       0         22              3     ZDC_HAD    1   11    -99
 49109403  22   1   u    0       0         23              0     ZDC_HAD    1   12    -99
 49409403  22   1   u    0       0         23              1     ZDC_HAD    1   13    -99
 49108C03  22   1   u    0       0         23              2     ZDC_HAD    1   14    -99
 49408C03  22   1   u    0       0         23              3     ZDC_HAD    1   15    -99
