New HCAL QIETypes set
#             eta             phi             dep             det    value      DetId
               -1               1               1              HB               0   43100401
               -2               1               1              HB               0   43100801
               -3               1               1              HB               0   43100C01
               -4               1               1              HB               0   43101001
               -5               1               1              HB               0   43101401
               -6               1               1              HB               0   43101801
               -7               1               1              HB               0   43101C01
               -8               1               1              HB               0   43102001
               -9               1               1              HB               0   43102401
              -10               1               1              HB               0   43102801
              -11               1               1              HB               0   43102C01
              -12               1               1              HB               0   43103001
              -13               1               1              HB               0   43103401
              -14               1               1              HB               0   43103801
              -15               1               1              HB               0   43103C01
              -15               1               2              HB               0   43203C01
              -16               1               1              HB               0   43104001
              -16               1               2              HB               0   43204001
               -1               2               1              HB               0   43100402
               -2               2               1              HB               0   43100802
               -3               2               1              HB               0   43100C02
               -4               2               1              HB               0   43101002
               -5               2               1              HB               0   43101402
               -6               2               1              HB               0   43101802
               -7               2               1              HB               0   43101C02
               -8               2               1              HB               0   43102002
               -9               2               1              HB               0   43102402
              -10               2               1              HB               0   43102802
              -11               2               1              HB               0   43102C02
              -12               2               1              HB               0   43103002
              -13               2               1              HB               0   43103402
              -14               2               1              HB               0   43103802
              -15               2               1              HB               0   43103C02
              -15               2               2              HB               0   43203C02
              -16               2               1              HB               0   43104002
              -16               2               2              HB               0   43204002
               -1               3               1              HB               0   43100403
               -2               3               1              HB               0   43100803
               -3               3               1              HB               0   43100C03
               -4               3               1              HB               0   43101003
               -5               3               1              HB               0   43101403
               -6               3               1              HB               0   43101803
               -7               3               1              HB               0   43101C03
               -8               3               1              HB               0   43102003
               -9               3               1              HB               0   43102403
              -10               3               1              HB               0   43102803
              -11               3               1              HB               0   43102C03
              -12               3               1              HB               0   43103003
              -13               3               1              HB               0   43103403
              -14               3               1              HB               0   43103803
              -15               3               1              HB               0   43103C03
              -15               3               2              HB               0   43203C03
              -16               3               1              HB               0   43104003
              -16               3               2              HB               0   43204003
               -1               4               1              HB               0   43100404
               -2               4               1              HB               0   43100804
               -3               4               1              HB               0   43100C04
               -4               4               1              HB               0   43101004
               -5               4               1              HB               0   43101404
               -6               4               1              HB               0   43101804
               -7               4               1              HB               0   43101C04
               -8               4               1              HB               0   43102004
               -9               4               1              HB               0   43102404
              -10               4               1              HB               0   43102804
              -11               4               1              HB               0   43102C04
              -12               4               1              HB               0   43103004
              -13               4               1              HB               0   43103404
              -14               4               1              HB               0   43103804
              -15               4               1              HB               0   43103C04
              -15               4               2              HB               0   43203C04
              -16               4               1              HB               0   43104004
              -16               4               2              HB               0   43204004
               -1               5               1              HB               0   43100405
               -2               5               1              HB               0   43100805
               -3               5               1              HB               0   43100C05
               -4               5               1              HB               0   43101005
               -5               5               1              HB               0   43101405
               -6               5               1              HB               0   43101805
               -7               5               1              HB               0   43101C05
               -8               5               1              HB               0   43102005
               -9               5               1              HB               0   43102405
