#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
54000080    38    9    u    0    0     2    0    ZDC_RPD    -4     1    -99
54000081    38    9    u    0    0     2    1    ZDC_RPD    -4     2    -99
54000082    38    9    u    0    0     2    2    ZDC_RPD    -4     3    -99
54000083    38    9    u    0    0     2    3    ZDC_RPD    -4     4    -99
54000084    38    9    u    0    0     3    0    ZDC_RPD    -3     5    -99
54000085    38    9    u    0    0     3    1    ZDC_RPD    -3     6    -99
54000086    38    9    u    0    0     3    2    ZDC_RPD    -3     7    -99
54000087    38    9    u    0    0     3    3    ZDC_RPD    -3     8    -99
54000088    38    9    u    0    0     4    0    ZDC_RPD    -2     9    -99
54000089    38    9    u    0    0     4    1    ZDC_RPD    -2    10    -99
5400008A    38    9    u    0    0     4    2    ZDC_RPD    -2    11    -99
5400008B    38    9    u    0    0     4    3    ZDC_RPD    -2    12    -99
5400008C    38    9    u    0    0     5    0    ZDC_RPD    -1    13    -99
5400008D    38    9    u    0    0     5    1    ZDC_RPD    -1    14    -99
5400008E    38    9    u    0    0     5    2    ZDC_RPD    -1    15    -99
5400008F    38    9    u    0    0     5    3    ZDC_RPD    -1    16    -99
540000C0    38    9    u    0    0    14    0    ZDC_RPD     4     1    -99
540000C1    38    9    u    0    0    14    1    ZDC_RPD     4     2    -99
540000C2    38    9    u    0    0    14    2    ZDC_RPD     4     3    -99
540000C3    38    9    u    0    0    14    3    ZDC_RPD     4     4    -99
540000C4    38    9    u    0    0    15    0    ZDC_RPD     3     5    -99
540000C5    38    9    u    0    0    15    1    ZDC_RPD     3     6    -99
540000C6    38    9    u    0    0    15    2    ZDC_RPD     3     7    -99
540000C7    38    9    u    0    0    15    3    ZDC_RPD     3     8    -99
540000C8    38    9    u    0    0    16    0    ZDC_RPD     2     9    -99
540000C9    38    9    u    0    0    16    1    ZDC_RPD     2    10    -99
540000CA    38    9    u    0    0    16    2    ZDC_RPD     2    11    -99
540000CB    38    9    u    0    0    16    3    ZDC_RPD     2    12    -99
540000CC    38    9    u    0    0    17    0    ZDC_RPD     1    13    -99
540000CD    38    9    u    0    0    17    1    ZDC_RPD     1    14    -99
540000CE    38    9    u    0    0    17    2    ZDC_RPD     1    15    -99
540000CF    38    9    u    0    0    17    3    ZDC_RPD     1    16    -99
54000011    38    9    u    0    0     6    0    ZDC_EM     -1     1    -99
54000012    38    9    u    0    0     6    1    ZDC_EM     -1     2    -99
54000013    38    9    u    0    0     6    2    ZDC_EM     -1     3    -99
54000014    38    9    u    0    0     6    3    ZDC_EM     -1     4    -99
54000015    38    9    u    0    0     7    0    ZDC_EM     -1     5    -99
54000021    38    9    u    0    0     7    1    ZDC_HAD    -1     1    -99
54000022    38    9    u    0    0     7    2    ZDC_HAD    -1     2    -99
54000023    38    9    u    0    0     7    3    ZDC_HAD    -1     3    -99
54000024    38    9    u    0    0     8    0    ZDC_HAD    -1     4    -99
54000051    38    9    u    0    0    18    0    ZDC_EM      1     1    -99
54000052    38    9    u    0    0    18    1    ZDC_EM      1     2    -99
54000053    38    9    u    0    0    18    2    ZDC_EM      1     3    -99
54000054    38    9    u    0    0    18    3    ZDC_EM      1     4    -99
54000055    38    9    u    0    0    19    0    ZDC_EM      1     5    -99
54000061    38    9    u    0    0    19    1    ZDC_HAD     1     1    -99
54000062    38    9    u    0    0    19    2    ZDC_HAD     1     2    -99
54000063    38    9    u    0    0    19    3    ZDC_HAD     1     3    -99
54000064    38    9    u    0    0    20    0    ZDC_HAD     1     4    -99
